ms,value
0,63
1,62
2,62
3,62
4,62
5,62
6,62
7,62
8,62
9,62
10,62
11,62
19,62
27,62
34,62
41,62
48,62
55,62
62,62
70,62
77,62
85,62
92,62
99,62
106,62
115,62
123,62
131,62
139,62
147,62
157,62
165,62
173,62
181,62
189,63
198,62
206,62
214,62
223,62
231,62
240,62
248,62
256,62
264,62
272,62
281,62
290,62
298,62
306,62
314,62
323,62
331,62
339,62
347,62
356,62
364,62
373,62
381,62
389,62
397,62
405,62
414,62
423,62
431,62
439,62
447,62
456,62
464,62
472,62
480,62
489,62
498,62
506,62
514,62
522,62
530,62
539,62
547,62
556,62
564,62
572,62
581,62
589,62
597,62
605,62
613,62
623,62
631,62
639,62
647,62
655,62
664,62
672,62
680,62
689,62
697,62
705,62
714,63
722,62
730,62
738,62
746,62
756,62
764,62
772,62
780,62
788,62
797,62
805,62
813,62
822,62
830,62
839,62
847,62
855,62
863,62
871,62
880,62
889,62
897,62
905,62
913,62
922,62
930,62
938,62
946,62
955,62
964,62
972,62
980,62
988,63
996,62
1004,62
1014,62
1024,62
1033,62
1042,62
1052,62
1061,62
1070,62
1079,62
1089,62
1099,62
1108,62
1117,62
1126,62
1136,62
1145,62
1155,62
1164,62
1173,62
1183,62
1192,62
1201,62
1210,62
1221,62
1230,62
1239,62
1248,62
1257,62
1267,62
1276,62
1286,62
1295,62
1305,62
1314,62
1323,62
1332,62
1341,62
1352,62
1361,62
1370,62
1379,62
1388,62
1398,62
1407,62
1417,62
1426,62
1436,62
1445,62
1454,62
1463,62
1472,62
1483,62
1492,62
1501,62
1510,62
1520,62
1529,62
1538,62
1547,62
1557,62
1567,62
1576,62
1585,62
1594,62
1604,62
1613,62
1623,62
1632,62
1641,62
1651,62
1660,62
1669,62
1678,62
1689,62
1698,62
1707,62
1716,62
1725,62
1735,62
1744,62
1754,62
1763,62
1772,62
1782,62
1791,62
1800,62
1809,62
1820,62
1829,62
1838,62
1847,62
1856,62
1866,62
1875,62
1885,62
1894,62
1904,62
1913,62
1922,62
1931,62
1940,62
1951,62
1960,62
1969,62
1978,62
1988,62
1997,62
2006,62
2016,62
2025,62
2035,62
2044,62
2053,62
2062,62
2072,62
2082,62
2091,62
2100,62
2109,62
2119,62
2128,62
2137,62
2146,62
2156,62
2166,62
2175,62
2184,62
2193,62
2203,62
2212,62
2222,62
2231,62
2240,62
2250,62
2259,62
2268,62
2277,62
2288,62
2297,62
2306,62
2315,62
2324,62
2334,62
2343,62
2353,62
2362,62
2372,62
2381,62
2390,62
2399,62
2408,62
2419,62
2428,62
2437,62
2446,62
2456,62
2465,63
2474,62
2484,62
2493,62
2503,62
2512,62
2521,62
2530,62
2539,62
2550,62
2559,62
2568,62
2577,62
2587,62
2596,62
2605,62
2615,62
2624,62
2634,62
2643,62
2652,62
2661,62
2671,62
2681,62
2690,62
2699,62
2708,63
2718,62
2727,62
2736,62
2745,62
2756,62
2765,62
2774,62
2783,62
2792,62
2802,62
2811,62
2821,62
2830,62
2840,62
2849,62
2858,62
2867,62
2876,62
2887,62
2896,62
2905,62
2914,62
2923,62
2933,62
2942,62
2952,62
2961,62
2971,62
2980,62
2989,62
2998,62
3007,62
3018,62
3027,62
3036,62
3045,62
3055,62
3064,62
3073,62
3083,62
3092,62
3102,62
3111,62
3120,62
3129,62
3139,62
3149,62
3158,62
3167,62
3176,62
3186,62
3195,62
3204,62
3214,62
3224,62
3233,62
3242,62
3251,62
3260,62
3270,62
3280,62
3289,62
3298,62
3307,62
3317,62
3326,62
3335,62
3344,62
3355,62
3364,62
3373,62
3382,62
3391,62
3401,62
3410,62
3420,62
3429,62
3439,62
3448,62
3457,62
3466,62
3475,62
3486,62
3495,62
3504,62
3513,62
3523,62
3532,62
3541,62
3551,62
3560,62
3570,62
3579,62
3588,62
3597,62
3606,62
3617,62
3626,62
3635,62
3644,62
3654,62
3663,62
3672,62
3682,62
3691,62
3701,62
3710,62
3719,62
3728,62
3738,62
3748,62
3757,62
3766,62
3775,62
3785,62
3794,62
3803,62
3813,62
3823,62
3832,62
3841,62
3850,62
3859,62
3869,62
3879,62
3888,62
3897,62
3907,62
3916,62
3925,62
3934,62
3943,62
3954,62
3963,62
3972,62
3981,62
3990,62
4000,62
4009,62
4019,62
4028,62
4038,62
4047,62
4056,62
4065,62
4074,62
4085,62
4094,62
4103,62
4112,62
4122,62
4131,62
4140,62
4150,62
4159,62
4169,62
4178,62
4187,62
4196,62
4206,62
4216,62
4225,62
4234,62
4243,62
4253,62
4262,62
4271,62
4281,62
4291,62
4300,62
4309,62
4318,63
4327,62
4337,62
4347,62
4356,62
4365,62
4374,62
4384,62
4393,63
4402,62
4412,62
4422,62
4431,62
4440,62
4449,62
4458,62
4468,62
4478,62
4487,62
4496,62
4506,62
4515,62
4524,62
4533,62
4542,62
4553,62
4562,62
4571,62
4580,63
4590,62
4599,62
4608,62
4618,62
4627,62
4637,63
4646,62
4655,62
4664,62
4673,62
4684,62
4693,62
4702,62
4711,62
4721,62
4730,62
4739,62
4749,62
4758,62
4768,62
4777,62
4786,62
4795,62
4805,62
4815,62
4824,62
4833,62
4842,62
4852,62
4861,62
4870,62
4880,62
4890,62
4899,62
4908,62
4917,62
4926,62
4936,62
4946,62
4955,62
4964,62
4974,62
4983,62
4992,62
5001,62
5011,62
5021,62
5030,62
5039,62
5048,62
5057,62
5067,62
5077,62
5086,62
5095,62
5105,63
5114,62
5123,62
5132,62
5141,62
5152,62
5161,62
5170,62
5179,62
5189,63
5198,62
5207,62
5217,62
5226,62
5236,62
5245,62
5254,62
5263,62
5273,62
5283,62
5292,62
5301,62
5310,62
5320,62
5329,62
5338,62
5348,62
5358,62
5367,62
5376,62
5385,62
5394,62
5404,62
5414,62
5423,62
5432,62
5441,62
5451,62
5460,62
5469,62
5479,62
5489,62
5498,62
5507,62
5516,62
5525,62
5535,62
5545,62
5554,62
5563,63
5573,63
5582,62
5591,62
5600,62
5610,62
5620,62
5629,62
5638,62
5647,62
5657,62
5666,62
5676,63
