ms,value
0,38
1,38
2,38
3,38
4,38
5,38
6,38
7,38
8,38
9,38
10,38
11,38
19,38
27,38
34,38
41,38
48,38
55,38
62,38
70,38
77,38
85,38
92,38
99,38
106,38
115,38
123,38
131,38
139,38
147,38
157,38
165,38
173,38
181,38
189,38
198,38
206,38
214,38
223,38
231,38
240,38
248,38
256,38
264,38
272,38
281,38
290,38
298,38
306,38
314,38
323,38
331,38
339,38
347,38
356,38
364,38
373,38
381,38
389,38
397,38
405,38
414,38
423,38
431,38
439,38
447,38
456,38
464,38
472,38
480,38
489,38
498,38
506,38
514,38
522,38
530,38
539,38
547,38
556,38
564,38
572,38
581,38
589,38
597,38
605,38
613,38
623,38
631,38
639,38
647,38
655,38
664,38
672,38
680,38
689,38
697,38
705,38
714,38
722,38
730,38
738,38
746,38
756,38
764,38
772,38
780,38
788,38
797,38
805,38
813,38
822,38
830,38
839,38
847,38
855,38
863,38
871,38
880,38
889,38
897,38
905,38
913,38
922,38
930,38
938,38
946,38
955,38
964,38
972,38
980,38
988,38
996,38
1004,38
1014,38
1024,38
1033,38
1042,38
1052,38
1061,38
1070,38
1079,38
1089,38
1099,38
1108,38
1117,38
1126,38
1136,37
1145,38
1155,38
1164,38
1173,37
1183,37
1192,38
1201,38
1210,38
1221,38
1230,38
1239,38
1248,38
1257,38
1267,38
1276,38
1286,38
1295,38
1305,38
1314,37
1323,38
1332,37
1341,38
1352,38
1361,37
1370,38
1379,38
1388,38
1398,38
1407,38
1417,38
1426,38
1436,38
1445,37
1454,38
1463,38
1472,38
1483,38
1492,38
1501,38
1510,38
1520,38
1529,38
1538,38
1547,38
1557,38
1567,38
1576,38
1585,38
1594,38
1604,37
1613,38
1623,38
1632,38
1641,38
1651,38
1660,38
1669,38
1678,38
1689,38
1698,38
1707,38
1716,38
1725,38
1735,38
1744,38
1754,38
1763,38
1772,38
1782,38
1791,38
1800,38
1809,38
1820,38
1829,38
1838,38
1847,37
1856,38
1866,38
1875,38
1885,38
1894,38
1904,38
1913,38
1922,38
1931,38
1940,38
1951,38
1960,38
1969,38
1978,38
1988,37
1997,38
2006,38
2016,38
2025,38
2035,37
2044,38
2053,38
2062,38
2072,38
2082,38
2091,38
2100,37
2109,38
2119,38
2128,38
2137,38
2146,38
2156,38
2166,38
2175,38
2184,38
2193,38
2203,38
2212,38
2222,38
2231,38
2240,38
2250,38
2259,38
2268,38
2277,38
2288,38
2297,38
2306,38
2315,38
2324,38
2334,38
2343,38
2353,38
2362,38
2372,38
2381,38
2390,38
2399,38
2408,38
2419,38
2428,38
2437,38
2446,38
