ms,value
0,97
1,97
2,96
3,96
4,97
5,96
6,96
7,96
8,96
9,96
10,96
11,97
19,96
27,96
34,96
41,96
48,96
55,96
62,97
70,96
77,97
85,96
92,96
99,96
106,96
115,96
123,96
131,96
139,96
147,96
157,96
165,96
173,96
181,96
189,96
198,96
206,96
214,96
223,96
231,97
240,96
248,97
256,96
264,97
272,96
281,96
290,96
298,96
306,96
314,96
323,96
331,97
339,96
347,96
356,96
364,96
373,96
381,96
389,96
397,96
405,96
414,96
423,96
431,96
439,97
447,97
456,96
464,96
472,96
480,96
489,96
498,96
506,96
514,96
522,96
530,96
539,97
547,96
556,96
564,96
572,96
581,96
589,96
597,96
605,97
613,96
623,96
631,96
639,97
647,96
655,96
664,96
672,96
680,96
689,96
697,96
705,96
714,96
722,96
730,96
738,96
746,96
756,96
764,96
772,96
780,96
788,96
797,96
805,97
813,96
822,97
830,96
839,96
847,96
855,97
863,96
871,96
880,96
889,97
897,96
905,96
913,96
922,97
930,97
938,96
946,96
955,96
964,97
972,96
980,96
988,96
996,96
1004,96
1014,96
1024,96
1033,96
1042,96
1052,96
1061,96
1070,96
1079,96
1089,96
1099,96
1108,96
1117,96
1126,96
1136,96
1145,97
1155,97
1164,97
1173,96
1183,96
1192,97
1201,96
1210,96
1221,96
1230,97
1239,96
1248,96
1257,96
1267,96
1276,96
1286,96
1295,96
1305,96
1314,96
1323,96
1332,96
1341,96
1352,96
1361,96
1370,96
1379,97
1388,96
1398,96
1407,96
1417,96
1426,96
1436,96
1445,97
1454,97
1463,96
1472,97
1483,97
1492,96
1501,96
1510,96
1520,96
1529,96
1538,97
1547,97
1557,97
1567,96
1576,96
1585,96
1594,96
1604,96
1613,96
1623,96
1632,96
1641,96
1651,96
1660,96
1669,96
1678,96
1689,96
1698,96
1707,96
1716,96
1725,97
1735,97
1744,96
1754,96
1763,96
1772,96
1782,96
1791,96
1800,96
1809,96
1820,96
1829,96
1838,96
1847,96
1856,97
1866,96
1875,96
1885,96
1894,96
1904,96
1913,96
1922,96
1931,96
1940,96
1951,96
1960,96
1969,97
1978,97
1988,97
1997,96
2006,96
2016,96
2025,97
2035,96
2044,97
2053,96
2062,97
2072,97
2082,97
2091,96
2100,96
2109,97
2119,96
2128,96
2137,96
2146,97
2156,96
2166,97
2175,96
2184,96
2193,96
2203,97
2212,96
2222,97
2231,96
2240,97
2250,96
2259,96
2268,96
2277,96
2288,97
2297,96
2306,97
2315,96
2324,97
2334,96
2343,96
2353,96
2362,97
2372,97
2381,96
2390,96
2399,96
2408,96
2419,96
2428,97
2437,97
2446,96
2456,96
2465,96
2474,96
2484,97
2493,96
2503,97
2512,96
2521,96
2530,96
2539,96
2550,97
2559,97
2568,96
2577,96
2587,97
2596,97
2605,96
2615,96
2624,96
2634,96
2643,97
2652,96
2661,96
2671,96
2681,96
2690,96
2699,96
2708,96
2718,97
2727,96
2736,96
2745,96
2756,96
2765,96
2774,97
2783,96
2792,96
2802,96
2811,97
2821,97
2830,96
2840,96
2849,96
2858,96
2867,96
2876,97
2887,96
2896,96
2905,96
2914,96
2923,96
2933,96
2942,96
2952,96
2961,96
2971,96
2980,96
2989,96
2998,96
3007,96
3018,96
3027,96
3036,96
3045,97
3055,96
3064,96
3073,96
3083,96
3092,96
3102,96
3111,97
3120,96
3129,96
3139,96
3149,96
3158,97
3167,96
3176,96
3186,96
3195,96
3204,96
3214,96
3224,96
3233,96
3242,97
3251,96
3260,97
3270,96
3280,96
3289,96
3298,96
3307,97
3317,96
3326,97
3335,97
3344,97
3355,96
3364,96
3373,96
3382,97
3391,96
3401,96
3410,96
3420,96
3429,96
3439,96
3448,96
3457,97
3466,96
3475,97
3486,96
3495,96
3504,96
3513,97
3523,97
3532,96
3541,96
3551,96
3560,96
3570,96
3579,96
3588,96
3597,97
3606,96
3617,96
3626,96
3635,96
3644,97
3654,96
3663,97
3672,97
3682,96
3691,96
3701,96
3710,97
3719,97
3728,96
3738,96
3748,96
3757,97
3766,97
3775,96
3785,97
3794,96
3803,96
3813,96
3823,97
3832,96
3841,96
3850,96
3859,97
3869,96
3879,96
3888,96
3897,96
3907,96
3916,96
3925,96
3934,96
3943,97
3954,96
3963,96
3972,96
3981,96
3990,96
4000,96
4009,97
4019,96
4028,97
4038,96
4047,97
4056,96
4065,96
4074,96
4085,96
4094,97
4103,97
4112,96
4122,97
4131,96
4140,97
4150,97
4159,96
4169,96
4178,96
4187,96
4196,96
4206,97
4216,96
4225,96
4234,96
4243,97
4253,96
4262,96
4271,96
4281,97
4291,96
4300,96
4309,96
4318,96
4327,96
4337,97
4347,96
4356,97
4365,96
4374,96
4384,96
4393,96
4402,96
4412,96
4422,96
4431,97
4440,96
4449,96
4458,96
4468,97
4478,96
4487,97
4496,97
4506,96
4515,97
4524,96
4533,96
4542,97
4553,97
4562,96
4571,96
4580,96
4590,96
4599,97
4608,96
4618,97
4627,97
4637,96
4646,96
4655,96
4664,97
4673,96
4684,96
4693,96
4702,96
4711,97
4721,97
4730,97
4739,96
4749,96
4758,96
4768,96
4777,96
4786,96
4795,96
4805,96
4815,97
4824,96
4833,97
4842,97
4852,96
4861,97
4870,96
4880,96
4890,97
4899,97
4908,96
4917,97
4926,96
4936,96
4946,96
4955,96
4964,97
4974,97
4983,96
4992,96
5001,96
5011,96
5021,97
5030,96
5039,96
5048,97
5057,96
5067,96
5077,96
5086,96
5095,97
5105,96
5114,96
5123,96
5132,96
5141,96
5152,96
5161,96
5170,96
5179,96
5189,96
5198,96
5207,96
5217,96
5226,96
5236,96
5245,96
5254,96
5263,96
5273,96
5283,96
5292,96
5301,96
5310,96
5320,97
5329,96
5338,97
5348,96
5358,96
5367,97
5376,96
5385,96
5394,96
5404,96
5414,96
5423,96
5432,96
5441,96
5451,97
5460,97
5469,96
5479,97
5489,96
5498,97
5507,96
5516,96
5525,97
5535,96
5545,96
5554,97
5563,96
5573,96
5582,96
5591,96
5600,97
5610,96
5620,96
5629,96
5638,96
5647,97
5657,96
5666,96
5676,96
5685,96
5694,96
5704,97
5713,96
5722,96
5731,96
5740,97
5751,96
5760,96
5769,97
5778,96
5788,96
5797,97
5806,96
5816,96
5825,96
5835,97
5844,97
5853,97
5862,96
5872,96
5882,96
5891,96
5900,96
5909,96
5919,96
5928,96
5937,97
5947,97
5957,96
5966,96
5975,96
5984,96
5993,96
6003,96
6013,96
6022,96
6031,96
6041,96
6050,96
6059,96
6068,97
6078,96
6088,96
6097,97
6106,96
6115,96
6124,96
6134,96
6144,96
6153,96
6162,96
6172,96
6181,96
6190,96
6199,96
6209,96
6219,96
6228,97
6237,96
6246,96
6256,96
6265,96
6275,96
6284,97
6293,96
6303,97
6312,97
6321,96
6330,96
6340,96
6350,97
6359,97
6368,96
6377,96
6387,96
6396,96
6405,96
6415,96
6425,97
6434,96
6443,97
6452,97
6461,96
6471,96
6481,96
6490,97
6499,97
6508,97
6518,96
6527,96
6536,96
6546,96
6556,96
6565,97
6574,96
6583,96
6592,96
6602,96
6612,96
6621,96
6630,96
6640,97
6649,97
6658,97
6667,96
6677,96
6687,96
6696,96
6705,97
6714,96
6724,97
6733,96
6743,97
6752,96
6761,97
6771,96
6780,96
6789,96
6798,96
6809,96
6818,96
6827,97
6836,96
6845,97
6855,96
6864,96
6874,96
6883,96
6892,96
6902,97
6911,97
6920,97
6929,96
6939,96
6949,96
6958,96
6967,96
6976,96
6986,97
6995,96
7004,97
7014,97
7024,96
7033,96
7042,96
7051,96
7060,96
7070,96
7080,97
7089,96
7098,97
7108,96
7117,96
7126,96
7135,97
7145,97
7155,96
7164,96
7173,96
7182,97
7192,96
7201,96
7211,96
7220,96
7229,96
7239,96
7248,96
7257,96
7266,96
7276,96
7286,96
7295,96
7304,97
7313,96
7323,96
7332,96
7342,97
7351,97
7360,97
7370,96
7379,97
7388,96
7397,97
7408,96
7417,96
7426,96
7435,96
7444,96
7454,97
7463,96
7473,96
7482,96
7492,96
7501,96
7510,96
7519,96
7528,97
7538,96
7548,97
7557,96
7566,96
7576,96
7585,96
7594,96
7603,96
7613,96
7623,96
7632,96
7641,96
7650,96
7659,97
7669,96
7679,96
7688,96
7697,96
7707,97
7716,96
7725,97
7734,96
7744,96
7754,97
7763,97
7772,96
7781,96
7791,96
7800,96
7810,96
7819,96
7828,96
7838,96
7847,96
7856,96
7865,96
7876,97
7885,96
7894,96
7903,96
7912,96
7922,96
7931,96
7941,97
7950,96
7960,96
7969,96
7978,97
7987,97
7996,97
8007,96
8016,96
8025,96
8034,96
8043,96
8053,96
8062,96
8072,96
8081,96
8091,96
8100,96
8109,96
8118,97
8127,96
8137,97
8147,96
8156,96
8165,96
8175,96
8184,96
8193,97
8202,97
8212,96
8222,96
8231,96
8240,97
8249,97
8259,97
8268,97
8278,97
8287,97
8296,96
8306,96
8315,97
8324,96
8333,96
8344,97
8353,96
8362,96
8371,96
8380,96
8390,96
8399,96
8409,96
8418,96
8427,96
8437,97
8446,97
8455,97
8464,96
8475,97
8484,96
8493,96
8502,97
8511,96
8521,97
8530,97
8540,96
8549,96
8559,96
8568,97
8577,96
8586,97
8595,96
8606,96
8615,96
8624,96
8633,97
8643,96
8652,96
8661,96
8671,96
8680,96
8690,96
8699,96
8708,96
8717,97
8726,96
8736,97
8746,96
8755,96
8764,96
8774,96
8783,96
8792,97
8801,97
8811,96
8821,96
8830,96
8839,97
8848,96
8858,96
8867,96
8877,96
8886,96
8895,97
8905,97
8914,96
8923,97
8932,96
8943,96
8952,96
8961,97
8970,96
8979,96
8989,97
8998,96
9008,96
9017,96
9027,96
9036,97
9045,97
9054,96
9063,96
9074,97
9083,96
9092,97
9101,96
9110,96
9120,96
9129,96
9139,96
9148,96
9158,96
9167,97
9176,96
9185,96
9194,97
9205,96
9214,96
9223,96
9232,97
9242,96
9251,97
9260,97
9270,97
9279,96
9289,96
9298,96
9307,97
9316,97
9326,97
9335,96
9345,97
9354,96
9363,97
9373,96
9382,96
9391,97
9400,96
9411,96
9420,96
9429,96
9438,97
9447,96
9457,96
9466,96
9476,97
9485,96
9494,96
9504,97
9513,96
9522,96
9531,96
9542,96
9551,97
9560,96
9569,96
9578,97
9588,96
9597,97
9607,97
9616,96
9626,96
9635,96
9644,96
9653,96
9662,96
9673,96
9682,97
9691,96
9700,96
9710,96
9719,96
9728,96
9738,96
9747,96
9757,96
9766,96
9775,96
9784,96
9793,96
9804,96
9813,96
9822,96
9831,96
9841,96
9850,96
9859,96
9869,96
9878,97
9888,96
9897,96
9906,97
9915,96
9925,96
9934,96
9944,96
9953,96
9962,96
9972,96
9981,97
9990,96
9999,97
10010,97
10020,97
10030,97
10040,96
10051,96
10061,96
10072,97
10082,96
10092,96
10103,96
10113,96
10123,97
10133,97
10145,96
10155,96
10165,96
10175,96
10186,96
10196,96
10207,96
10217,97
10228,96
10238,97
10248,97
10258,96
10270,96
10280,96
10290,96
10300,96
10311,96
10321,96
10331,96
10342,97
10353,96
10363,96
10373,97
10383,96
10394,96
10405,96
10415,96
10425,97
10436,96
10446,97
10456,97
10466,97
10478,96
10488,96
10498,97
10508,96
10518,96
10529,97
10540,96
10550,96
10560,97
10571,96
10581,96
10591,96
10602,96
10613,96
10623,96
10633,96
10643,96
10654,96
10664,96
10675,97
10685,96
10696,96
10706,96
10716,96
10726,96
10738,96
10748,96
10758,96
10768,96
10779,96
10789,96
10799,97
10810,96
