ms,value
0,661
1,590
2,501
3,456
4,405
5,408
6,408
7,398
8,387
9,377
14,509
24,421
32,313
40,638
48,380
56,626
64,401
73,336
81,509
90,354
98,664
106,396
116,586
125,400
134,470
143,394
154,342
163,444
172,300
181,514
190,325
200,619
209,355
219,669
228,373
238,647
247,385
256,609
265,396
274,513
285,389
294,378
303,417
312,308
321,471
331,307
340,576
349,342
359,653
369,363
378,652
387,374
396,622
405,384
415,553
425,387
434,423
443,385
453,315
462,445
471,289
480,531
490,324
500,622
509,352
518,655
527,363
537,631
546,376
556,580
565,383
574,466
584,379
593,336
602,420
611,286
622,481
631,304
640,588
649,337
658,655
668,352
677,635
687,365
696,596
705,377
715,509
724,375
733,377
742,387
753,294
762,445
771,285
780,546
789,321
799,629
808,345
818,638
827,356
837,608
846,367
855,546
864,370
873,424
884,367
893,303
902,422
911,270
921,501
930,301
939,599
948,331
958,639
968,346
977,615
986,358
995,573
1004,368
1015,561
1026,359
1036,597
1046,352
1057,617
1067,344
1077,629
1088,336
1099,631
1109,322
1119,588
1129,302
1140,531
1151,277
1161,457
1171,262
1182,417
1192,283
1202,377
1212,332
1224,355
1234,417
1244,356
1254,499
1265,358
1275,559
1286,350
1296,592
1307,342
1317,613
1327,334
1337,623
1348,325
1359,616
1369,311
1379,573
1390,287
1400,510
1410,264
1421,438
1432,257
1442,402
1452,281
1462,358
1472,340
1484,347
1494,427
1504,348
1514,507
1525,349
1535,559
1545,341
1556,590
1567,335
1577,606
1587,326
1597,619
1608,317
1619,601
1629,300
1639,556
1650,277
1660,489
1670,254
1680,422
1692,256
1702,389
1712,279
1722,342
1733,349
1743,341
1754,435
1764,343
1775,514
1785,340
1795,561
1805,335
1817,587
1827,326
1837,604
1847,317
1857,614
1868,307
1878,586
1889,289
1899,536
1910,265
1920,468
1930,243
1940,409
1952,253
1962,375
1972,281
1982,336
1993,361
2003,336
2013,444
2024,337
2035,519
2045,332
2055,562
2065,325
2076,586
2087,317
2097,601
2107,309
2118,609
2128,297
2138,573
2149,280
2160,515
2170,255
2180,445
2190,234
2201,396
2211,251
2222,359
2232,288
2243,329
2253,370
2263,330
2273,453
2284,334
2295,523
2305,324
2315,559
2325,317
2336,584
2346,309
2357,597
2367,300
2378,600
2388,286
2398,558
2408,268
2420,497
2430,244
2440,423
2450,229
2461,382
2471,251
2482,343
2492,299
2503,323
2513,385
2523,324
2533,465
2544,329
2555,530
2565,319
2575,560
2586,310
2596,581
2606,301
2617,594
2628,293
2638,587
2648,277
2658,543
2668,255
2679,477
2690,233
2700,404
2710,227
2721,369
2731,250
2741,326
2752,311
2763,316
2773,399
2783,319
2793,478
2804,320
2815,531
2825,312
2835,561
2846,302
2856,580
2866,295
2876,592
2888,286
2898,573
2908,269
2918,524
2929,245
2939,455
2950,225
2960,390
2971,229
2981,358
2991,252
3001,314
3012,327
3023,314
3033,413
3043,316
3054,491
3064,313
3074,534
3085,305
3096,561
3106,296
3116,578
3126,288
3136,590
3148,278
3158,559
3168,261
3178,505
3189,236
3199,435
3209,216
3220,379
3231,230
3241,345
3251,262
3261,308
3272,344
3283,311
3293,429
3303,314
3314,498
3324,307
3334,538
3344,299
3356,562
3366,291
3376,578
3386,283
3397,584
3407,269
3418,545
3428,250
3439,484
3449,228
3459,412
3469,211
3481,366
3491,231
3501,330
3511,277
3521,304
3532,360
3542,308
3553,443
3563,312
3574,506
3584,302
3594,540
3604,294
3616,561
3626,285
3636,576
3646,277
3657,571
3667,261
3677,530
3688,241
3699,465
3709,218
3719,391
3729,211
3740,355
3751,234
3761,313
3771,292
3782,301
3792,380
3802,304
3813,459
3824,306
3834,513
3844,298
3854,543
3865,290
3875,562
3886,279
3896,575
3907,271
3917,557
3927,253
3937,512
3948,230
3959,444
3969,210
3979,377
3989,213
4000,344
4010,237
4021,298
4031,311
4042,298
4052,397
4062,301
4072,476
4084,299
4094,520
4104,293
4114,546
4125,283
4135,561
4146,274
4156,573
4167,265
4177,543
4187,248
4197,491
4208,223
4219,419
4229,202
4239,364
4250,217
4260,332
4270,248
4281,295
4292,329
4302,296
4312,415
4322,299
4332,487
4343,294
4354,526
4364,287
4374,548
4385,281
4395,562
4405,271
4416,568
4427,257
4437,528
4447,239
4457,470
4468,215
4479,398
4489,196
4499,354
4510,218
4520,317
4530,264
4540,294
4552,353
4562,296
4572,432
4582,300
4593,497
4603,289
4614,532
4624,281
4635,552
4645,272
4655,565
4665,266
4676,559
4687,249
4697,515
4707,229
4718,450
4728,207
4738,377
4749,200
4760,342
4770,223
4780,299
4790,284
4800,289
4812,372
4822,293
4832,452
4842,293
4853,505
4863,285
4873,533
4884,276
4895,552
4905,269
4915,564
4925,260
4936,543
4947,244
4957,495
4967,219
4978,429
4988,198
4998,364
5008,204
5020,332
5030,228
5040,288
5050,306
5061,289
5071,391
5082,290
5092,470
5103,287
5113,513
5123,281
5133,538
5145,273
5155,554
5165,265
5175,563
5185,253
5196,529
5206,237
5217,475
5227,211
5238,405
5248,189
5258,352
5268,207
5280,318
5290,243
5300,286
5310,326
