ms,value
0,635
1,665
2,678
3,631
4,557
5,480
6,443
7,413
8,416
9,418
14,328
24,590
32,396
40,645
48,418
56,404
64,471
73,359
81,668
90,408
98,562
106,407
116,348
125,457
134,319
143,528
154,351
163,621
172,381
181,667
190,395
200,647
209,405
219,611
228,411
238,511
247,405
256,382
265,431
274,321
285,479
294,329
303,582
312,363
321,658
331,385
340,654
349,394
359,625
369,404
378,553
387,401
396,432
405,393
415,328
425,450
434,308
443,535
453,343
462,625
471,371
480,657
490,384
500,634
509,395
518,591
527,399
537,479
546,392
556,350
565,427
574,300
584,483
593,320
602,590
611,354
622,656
631,373
640,644
649,384
658,610
668,394
677,525
687,387
696,397
705,394
715,309
724,448
733,300
742,539
753,337
762,626
771,361
780,646
789,374
799,621
808,383
818,568
827,386
837,449
846,378
855,323
864,423
873,283
884,489
893,311
902,591
911,346
921,647
930,361
939,630
948,373
958,592
968,386
977,495
986,375
995,366
1004,395
1015,341
1026,371
1036,427
1046,375
1057,511
1067,381
1077,572
1088,373
1099,605
1109,365
1119,624
1129,357
1140,635
1151,347
1161,626
1171,330
1182,583
1192,306
1202,515
1212,284
1224,443
1234,273
1244,412
1254,297
1265,370
1275,360
1286,364
1296,446
1307,369
1317,523
1327,369
1337,579
1348,362
1359,606
1369,356
1379,621
1390,347
1400,633
1410,335
1421,607
1432,318
1442,553
1452,292
1462,485
1472,268
1484,423
1494,273
1504,393
1514,298
1525,355
1535,377
1545,358
1556,465
1567,362
1577,541
1587,360
1597,581
1608,354
1619,604
1629,343
1639,619
1650,335
1660,626
1670,323
1680,584
1692,302
1702,527
1712,276
1722,454
1733,254
1743,407
1754,270
1764,374
1775,311
1785,345
1795,398
1805,351
1817,481
1827,359
1837,548
1847,350
1857,585
1868,343
1878,603
1889,332
1899,616
1910,323
1920,524
1930,268
1940,422
1952,249
1962,352
1972,238
1982,299
1993,243
2003,281
2013,268
2024,260
2035,309
2045,261
2055,358
2065,263
2076,411
2087,255
2097,457
2107,256
2118,465
2128,255
2138,450
2149,258
2160,438
2170,258
2180,406
2190,253
2201,365
2211,247
2222,320
2232,244
2243,288
2253,255
2263,277
2273,273
2284,253
2295,324
2305,260
2315,374
2325,264
2336,409
2346,262
2357,425
2367,262
2378,427
2388,264
2398,423
2408,262
2420,419
2430,259
2440,388
2450,257
2461,347
2471,248
2482,308
2492,239
2503,282
2513,259
2523,268
2533,285
2544,255
2555,339
2565,261
2575,384
2586,264
2596,417
2606,265
2617,424
2628,264
2638,428
2648,262
2658,427
2668,263
2679,417
2690,259
2700,380
2710,251
2721,341
2731,244
2741,295
2752,242
2763,281
2773,261
2783,253
2793,299
2804,225
2815,337
2825,248
2835,419
2846,262
2856,470
2866,257
2876,491
2888,256
2898,496
2908,251
2918,508
2929,246
2939,479
2950,236
2960,425
2971,225
2981,359
2991,209
3001,305
3012,218
3023,284
3033,242
3043,250
3054,306
3064,259
3074,382
3085,265
3096,449
3106,266
3116,481
3126,265
3136,495
3148,259
3158,503
3168,254
3178,503
3189,249
3199,465
3209,234
3220,412
3231,216
3241,350
3251,202
3261,306
3272,221
3283,282
3293,257
3303,256
3314,335
3324,264
3334,409
3344,273
3356,467
3366,267
3376,499
3386,264
3397,506
3407,261
3418,505
3428,257
3439,499
3449,245
3459,451
3469,232
3481,391
3491,213
3501,325
3511,210
3521,294
3532,238
3542,265
3553,287
3563,259
3574,361
3584,264
3594,427
3604,268
3616,469
3626,265
3636,484
3646,261
3657,490
3667,258
3677,491
3688,255
3699,466
3709,241
3719,421
3729,223
3740,364
3751,210
3761,305
3771,214
3782,286
3792,240
3802,249
3813,304
3824,254
3834,376
3844,259
3854,433
3865,257
3875,467
3886,253
3896,485
3907,245
3917,495
3927,239
3937,500
3948,230
3959,462
3969,217
3979,401
3989,199
4000,337
4010,181
4021,288
4031,205
4042,262
4052,240
4062,237
4072,315
4084,246
4094,388
4104,250
4114,448
4125,249
4135,472
4146,248
4156,483
4167,241
4177,495
4187,229
4197,529
4208,218
4219,481
4229,211
4239,387
4250,197
4260,318
4270,185
4281,286
4292,210
4302,255
4312,249
4322,247
4332,318
4343,263
4354,409
4364,276
4374,482
4385,268
4395,518
4405,265
4416,539
4427,258
4437,556
4447,252
4457,547
4468,236
4479,497
4489,212
4499,432
4510,188
4520,358
4530,184
4540,328
4552,210
4562,285
4572,281
4582,287
4593,377
4603,292
4614,463
4624,296
4635,514
4645,288
4655,545
4665,281
4676,563
4687,274
4697,572
4707,265
4718,544
4728,243
4738,491
4749,219
4760,419
4770,195
4780,359
4790,203
4800,330
4812,236
4822,291
4832,323
4842,298
4853,409
4863,305
4873,488
4884,300
4895,532
4905,294
4915,555
4925,286
4936,573
4947,277
4957,583
4967,265
4978,535
4988,244
4998,476
5008,216
5020,386
5030,198
5040,321
5050,216
5061,280
5071,256
5082,255
5092,339
5103,257
5113,411
5123,265
5133,462
5145,257
5155,489
5165,251
5175,496
5185,246
5196,495
5206,239
5217,480
5227,228
5238,429
5248,212
5258,366
5268,195
5280,301
5290,193
5300,276
5310,221
5321,244
5331,276
5341,243
5352,352
5363,249
5373,421
5383,252
5393,458
5404,250
5415,475
5425,245
5435,483
5446,240
5456,484
5466,238
5477,454
5488,221
5498,409
5508,206
5518,345
5529,192
5539,292
5550,205
5560,270
5571,230
5581,235
5591,299
5601,245
5612,373
5623,252
5633,430
5643,249
5653,464
5664,248
5674,474
5685,245
5695,482
5706,240
5716,484
5726,234
5736,443
5748,221
5758,390
5768,203
5778,328
5789,190
5799,286
5810,210
5820,264
5831,246
5841,240
5851,324
5861,248
5872,394
5883,256
5893,448
5903,252
5914,474
5924,250
5934,481
5945,246
5956,485
5966,241
5976,481
5986,230
5996,433
6007,218
6018,373
6028,200
6038,312
6049,192
6059,281
6069,219
6080,254
6091,268
6101,246
6111,344
6121,253
6132,415
6143,259
6153,459
6163,255
6174,476
6184,250
6194,484
6204,246
6216,486
6226,243
6236,464
6246,230
6257,419
6267,214
6278,357
6288,201
6299,299
6309,202
6319,277
6329,229
6340,242
6351,290
6361,248
6371,364
6382,256
6392,429
6402,255
6413,465
6424,254
6434,479
6444,251
6454,485
6464,245
6476,486
6486,241
6496,452
6506,230
6517,403
6527,210
6537,342
6548,196
6559,292
6569,211
6579,273
6589,239
6600,242
6611,313
6621,250
6631,385
6642,258
6652,442
6662,256
6672,472
6684,253
6694,479
6704,251
6714,484
6725,247
6735,485
6746,238
6756,442
6767,228
6777,385
6787,210
6797,325
6809,196
6819,287
6829,221
6839,266
6849,257
6860,246
6870,332
6881,253
6891,402
6902,259
6912,454
6922,258
6932,473
6944,253
6954,482
6964,250
6974,483
6985,246
6995,474
7005,236
7016,430
7027,222
7037,371
7047,207
7057,310
7068,199
7079,283
7089,227
7099,254
7110,278
7120,248
7130,353
7141,256
7152,416
7162,261
7172,462
7182,257
7193,474
7203,254
7214,480
7224,249
7235,480
7245,249
7255,458
7265,237
7276,411
7287,218
7297,355
7307,208
7317,296
7328,213
7338,277
7349,237
7359,244
7370,296
7380,248
7390,371
7400,256
7412,427
7422,258
7432,463
7442,255
7453,474
7463,253
7474,476
7484,249
7495,476
7505,243
7515,446
7525,233
7536,393
7547,217
7557,336
7567,205
7578,290
7588,220
7598,271
7609,245
7620,243
7630,315
7640,252
7650,383
7660,257
7671,440
7682,258
7692,463
7702,255
7713,472
7723,252
7733,475
7744,249
7755,471
7765,244
7775,433
7785,230
7796,380
7807,216
7817,320
7827,203
7838,285
7848,226
7858,264
7868,263
7880,245
7890,334
7900,253
7910,396
7921,260
7931,444
7942,256
7952,464
7963,255
7973,468
7983,251
7993,471
8004,248
8015,465
8025,240
8035,417
8046,227
8056,365
8066,212
8077,306
8088,207
8098,279
8108,231
8118,256
8128,275
8140,247
8150,348
8160,253
8170,410
8181,261
8191,450
8201,255
8212,466
8223,252
8233,472
8243,251
8253,469
8264,246
8275,453
8285,236
8295,409
8306,224
8316,350
8326,211
8336,296
8348,213
8358,277
8368,239
8378,247
8389,292
8399,249
8410,361
8420,255
8431,422
8441,257
8451,456
8461,256
8473,466
8483,251
8493,473
8503,250
8513,471
8524,246
8534,441
8545,234
8555,396
8566,220
8576,340
8586,209
8596,290
8608,217
8618,274
8628,241
8638,241
8649,308
8659,250
8669,378
8680,258
8691,432
8701,256
8711,463
8721,255
8732,471
8743,254
8753,475
8763,249
8774,476
8784,242
8794,440
8805,234
8816,386
8826,216
8836,329
8846,203
8857,287
8867,222
8878,269
8888,253
8899,244
8909,323
8919,252
8929,393
8940,259
8951,447
8961,258
8971,468
8981,255
8992,479
9002,253
9013,479
9023,249
9034,476
9044,241
9054,434
9064,228
9076,378
9086,215
9096,318
9106,202
9117,286
9127,227
9138,262
9148,267
9159,246
9169,341
9179,256
9189,406
9200,263
9211,454
9221,257
9231,473
9242,255
9252,480
9262,251
9273,484
9284,248
9294,476
9304,238
9314,427
9324,222
9335,373
9346,204
9356,310
9366,202
9377,285
9387,227
9397,256
9408,279
9419,250
9429,357
9439,257
9449,423
9460,264
9471,464
9481,259
9491,482
9502,255
9512,487
9522,252
9532,488
9544,250
9554,467
9564,235
9574,421
9585,220
9595,360
9606,203
9616,304
9627,207
9637,282
9647,233
9657,247
9668,296
9679,252
9689,371
9699,261
9710,436
9720,260
9730,472
9741,259
9752,486
9762,255
9772,494
9782,248
9792,496
9804,243
9814,461
9824,234
9834,411
9845,213
9855,351
9865,198
9876,299
9887,212
9897,278
9907,238
9917,247
9928,314
9939,254
9949,388
9959,260
9970,448
9980,261
9990,475
10000,257
10013,493
10024,233
10035,346
10046,221
10058,251
10070,442
10081,257
10092,491
10104,233
10115,334
10126,224
10139,253
10150,448
10161,256
10172,494
10184,229
10195,325
10207,228
10218,254
10230,457
10241,255
10252,494
10264,227
10276,314
10287,232
10298,256
10310,462
10321,255
10332,490
10344,225
10356,305
10367,239
10378,256
10389,466
10402,255
10413,486
10424,222
10436,298
10447,255
10458,256
10470,466
10482,254
10493,477
10504,221
10515,294
10527,263
10539,259
10550,467
10561,251
10573,467
10584,215
10595,290
10608,277
10619,257
10630,469
10641,251
10653,456
10664,216
10676,285
10687,289
10699,258
10710,469
10721,250
10732,443
10745,213
10756,280
10767,300
10779,259
10790,469
10802,249
10813,438
10825,211
10836,276
10847,315
10858,258
10871,470
10882,249
10893,428
10905,208
10916,273
10927,325
10939,263
10951,468
10962,247
10973,416
10984,207
10996,268
11008,338
11019,256
11030,469
11042,247
11053,408
11064,206
11077,262
11088,349
11099,257
11110,466
11122,244
11134,397
11145,201
11156,256
11168,358
11179,255
11190,466
11203,244
11214,388
11225,201
11236,247
11248,371
11259,254
11271,467
11282,242
11294,373
11305,203
11316,241
11327,380
11340,254
11351,467
11362,240
11374,367
11385,207
11396,237
11408,390
11420,252
11431,467
11442,237
11453,357
11465,212
11477,239
11488,401
11499,251
11511,466
11522,236
11534,346
11546,216
11557,240
11568,409
11579,251
11591,465
11603,234
11614,337
11625,219
11637,242
11648,416
11659,249
11672,467
11683,230
11694,324
11705,224
11717,242
11728,428
11740,248
11751,464
11763,229
11774,314
11785,226
11796,243
11809,431
11820,249
11831,465
11843,227
11854,304
11866,230
11877,244
11889,438
11900,246
11911,465
11922,223
11935,293
11946,235
11957,244
11968,444
11980,247
11991,463
12003,221
12015,287
12026,242
12037,246
12048,444
12060,246
12072,457
12083,216
12094,283
12106,254
12117,248
12128,448
12140,245
12152,454
12163,214
12174,278
12186,265
12197,246
12209,451
12220,245
12232,441
12243,213
12254,275
12266,277
12278,249
12289,452
12300,243
12312,431
12323,210
12335,272
12346,288
12358,250
12369,455
12380,241
12391,425
12404,208
12415,268
12426,303
12437,250
12449,454
12460,241
12472,415
12484,207
12495,264
12506,315
12517,252
12529,454
12541,241
12552,405
12563,204
12575,261
12586,325
12598,251
12609,456
12621,239
12632,400
12643,201
12655,256
12667,339
12678,247
12689,457
12701,239
12712,390
12723,200
12735,250
12747,350
12758,249
12769,457
12780,239
12792,379
12804,196
12815,243
12827,361
12838,247
12849,458
12860,236
12873,367
12884,199
12895,235
12906,373
12918,245
12929,457
12941,234
