ms,value
0,1023
1,1023
2,1023
3,1023
4,1023
5,1023
6,1023
7,1023
8,1023
16,1023
27,1023
36,1023
45,1023
54,1023
63,1023
73,1023
82,1023
92,1023
101,1023
112,1023
122,1023
132,1023
142,1023
154,1023
164,1023
174,1023
184,1023
195,1023
205,1023
215,1023
226,1023
236,1023
247,1023
257,1023
267,1023
277,1023
289,1023
299,1023
309,1023
319,1023
330,1023
340,1023
351,1023
361,1023
372,1023
382,1023
392,1023
402,1023
413,1023
424,1023
434,1023
444,1023
455,1023
465,1023
475,1023
486,1023
497,1023
507,1023
517,1023
527,1023
538,1023
548,1023
559,1023
569,1023
580,1023
590,1023
600,1023
610,1023
622,1023
632,1023
642,1023
652,1023
662,1023
673,1023
684,1023
694,1023
704,1023
715,1023
725,1023
735,1023
745,1023
757,1023
767,1023
777,1023
787,1023
798,1023
808,1023
819,1023
829,1023
840,1023
850,1023
860,1023
870,1023
881,1023
892,1023
902,1023
912,1023
923,1023
933,1023
943,1023
954,1023
965,1023
975,1023
985,1023
995,1023
1006,1023
1018,1023
1029,1023
1040,1023
1052,1023
1063,1023
1074,1023
1086,1023
1098,1023
1109,1023
1120,1023
1131,1023
1143,1023
1155,1023
1166,1023
1178,1023
1189,1023
1200,1023
1211,1023
1224,1023
1235,1023
1246,1023
1257,1023
1269,1023
1280,1023
1292,1023
1304,1023
1315,1023
1326,1023
1337,1023
1350,1023
1361,1023
1372,1023
1383,1023
1395,1023
1406,1023
1418,1023
1429,1023
1441,1023
1452,1023
1463,1023
1475,1023
1487,1023
1498,1023
1509,1023
1521,1023
1532,1023
1543,1023
1555,1023
1567,1023
1578,1023
1589,1023
1600,1023
1612,1023
1624,1023
1635,1023
1647,1023
1658,1023
1669,1023
1680,1023
1693,1023
1704,1023
1715,1023
1726,1023
1738,1023
1750,1023
1761,1023
1772,1023
1784,1023
1795,1023
1806,1023
1819,1023
1830,1023
1841,1023
1852,1023
1864,1023
1875,1023
1887,1023
1898,1023
1910,1023
1921,1023
1932,1023
1944,1023
1956,1023
1967,1023
1978,1023
1990,1023
2001,1023
2012,1023
2024,1023
2036,1023
2047,1023
2058,1023
2069,1023
2082,1023
2093,1023
2104,1023
2116,1023
2127,1023
2138,1023
2150,1023
2162,1023
2173,1023
2184,1023
2195,1023
2207,1023
2219,1023
2230,1023
2241,1023
2253,1023
2264,1023
2275,1023
2288,1023
2299,1023
2310,1023
2321,1023
2333,1023
2344,1023
2356,1023
2367,1023
2379,1023
2390,1023
2401,1023
2412,1023
2425,1023
2436,1023
2447,1023
2459,1023
2470,1023
2482,1023
2493,1023
2505,1023
2516,1023
2527,1023
2538,1023
2551,1023
2562,1023
2573,1023
2585,1023
2596,1023
2607,1023
2619,1023
2631,1023
2642,1023
2653,1023
2664,1023
2676,1023
2688,1023
2699,1023
2710,1023
2722,1023
2733,1023
2744,1023
2757,1023
2768,1023
2779,1023
2790,1023
2802,1023
2814,1023
2825,1023
2836,1023
2848,1023
2859,1023
2870,1023
2883,1023
2894,1023
2905,1023
2916,1023
2928,1023
2939,1023
2951,1023
2962,1023
2974,1023
2985,1023
2996,1023
3007,1023
3020,1023
3031,1023
3042,1023
3054,1023
3065,1023
3076,1023
3088,1023
3100,1023
3111,1023
3122,1023
3133,1023
3145,1023
3157,1023
3168,1023
3179,1023
3191,1023
3202,1023
3214,1023
3226,1023
3237,1023
3248,1023
3259,1023
3271,1023
3283,1023
3294,1023
3305,1023
3317,1023
3328,1023
3339,1023
3352,1023
3363,1023
3374,1023
3385,1023
3397,1023
3408,1023
3420,1023
3431,1023
3443,1023
3454,1023
3465,1023
3476,1023
3489,1023
3500,1023
3511,1023
3523,1023
3534,1023
3546,1023
3557,1023
3569,1023
3580,1023
3591,1023
3602,1023
3615,1023
3626,1023
3637,1023
3648,1023
3660,1023
3671,1023
3683,1023
3695,1023
3706,1023
3717,1023
3728,1023
3740,1023
3752,1023
3763,1023
3774,1023
3786,1023
3797,1023
3808,1023
3820,1023
3832,1023
3843,1023
3854,1023
3866,1023
3877,1023
3889,1023
3900,1023
3912,1023
3923,1023
3934,1023
3946,1023
3958,1023
3969,1023
3980,1023
3992,1023
4003,1023
4015,1023
4026,1023
4038,1023
4049,1023
4060,1023
4071,1023
4084,1023
4095,1023
4106,1023
4117,1023
4129,1023
4140,1023
4152,1023
4164,1023
4175,1023
4186,1023
4197,1023
4209,1023
4221,1023
4232,1023
4243,1023
4255,1023
4266,1023
4278,1023
4289,1023
4301,1023
4312,1023
4323,1023
4335,1023
4347,1023
4358,1023
4369,1023
4381,1023
4392,1023
4403,1023
4415,1023
4427,1023
4438,1023
4449,1023
4460,1023
4472,1023
4484,1023
4495,1023
4507,1023
4518,1023
4529,1023
4540,1023
4553,1023
4564,1023
4575,1023
4586,1023
4598,1023
4609,1023
4621,1023
4633,1023
4644,1023
4655,1023
4666,1023
4679,1023
4690,1023
4701,1023
4712,1023
4724,1023
4735,1023
4747,1023
4758,1023
4770,1023
4781,1023
4792,1023
4804,1023
4816,1023
4827,1023
4838,1023
4850,1023
4861,1023
4872,1023
4884,1023
4896,1023
4907,1023
4918,1023
4929,1023
4941,1023
4953,1023
4964,1023
4976,1023
4987,1023
4998,1023
5010,1023
5022,1023
5033,1023
5044,1023
5055,1023
5067,1023
5079,1023
5090,1023
5102,1023
5113,1023
5124,1023
5135,1023
5148,1023
5159,1023
5170,1023
5181,1023
5193,1023
5204,1023
5216,1023
5227,1023
5239,1023
5250,1023
5261,1023
5273,1023
5285,1023
5296,1023
5307,1023
5319,1023
5330,1023
5341,1023
5353,1023
5365,1023
5376,1023
5387,1023
5398,1023
5411,1023
5422,1023
5433,1023
5445,1023
5456,1023
5467,1023
5479,1023
5491,1023
5502,1023
5513,1023
5524,1023
5536,1023
5548,1023
5559,1023
5571,1023
5582,1023
5593,1023
5604,1023
5617,1023
5628,1023
5639,1023
5650,1023
5662,1023
5673,1023
5685,1023
5696,1023
5708,1023
5719,1023
5730,1023
5743,1023
5754,1023
5765,1023
5776,1023
5788,1023
5799,1023
5811,1023
5822,1023
5834,1023
5845,1023
5856,1023
5867,1023
5880,1023
5891,1023
5902,1023
5914,1023
5925,1023
5936,1023
5948,1023
5960,1023
5971,1023
5982,1023
5993,1023
6005,1023
6017,1023
6028,1023
6040,1023
6051,1023
6062,1023
6073,1023
6086,1023
6097,1023
6108,1023
6119,1023
6131,1023
6143,1023
6154,1023
6165,1023
6177,1023
6188,1023
6199,1023
6212,1023
6223,1023
6234,1023
6245,1023
6257,1023
6268,1023
6280,1023
6291,1023
6303,1023
6314,1023
6325,1023
6336,1023
6349,1023
6360,1023
6371,1023
6383,1023
6394,1023
6405,1023
6417,1023
6429,1023
6440,1023
6451,1023
6462,1023
6475,1023
6486,1023
6497,1023
6508,1023
6520,1023
6531,1023
6543,1023
6555,1023
6566,1023
6577,1023
6588,1023
6600,1023
6612,1023
6623,1023
6634,1023
6646,1023
6657,1023
6668,1023
6681,1023
6692,1023
6703,1023
6714,1023
6726,1023
6737,1023
6749,1023
6760,1023
6772,1023
6783,1023
6794,1023
6805,1023
6818,1023
6829,1023
6840,1023
6852,1023
6863,1023
6875,1023
6886,1023
6898,1023
6909,1023
6920,1023
6931,1023
6944,1023
6955,1023
6966,1023
6977,1023
6989,1023
7000,1023
7012,1023
7024,1023
7035,1023
7046,1023
7057,1023
7069,1023
7081,1023
7092,1023
7103,1023
7115,1023
7126,1023
7137,1023
7150,1023
7161,1023
7172,1023
7183,1023
7195,1023
7207,1023
7218,1023
7229,1023
7241,1023
7252,1023
7263,1023
7275,1023
7287,1023
7298,1023
7309,1023
7321,1023
7332,1023
7344,1023
7355,1023
7367,1023
7378,1023
7389,1023
7400,1023
7413,1023
7424,1023
7435,1023
7446,1023
7458,1023
7469,1023
7481,1023
7493,1023
7504,1023
7515,1023
7526,1023
7538,1023
7550,1023
7561,1023
7572,1023
7584,1023
7595,1023
7607,1023
7619,1023
7630,1023
7641,1023
7652,1023
7664,1023
7676,1023
7687,1023
7698,1023
7710,1023
7721,1023
7732,1023
7744,1023
7756,1023
7767,1023
7778,1023
7790,1023
7801,1023
7813,1023
7824,1023
7836,1023
7847,1023
7858,1023
7869,1023
7882,1023
7893,1023
7904,1023
7915,1023
7927,1023
7939,1023
7950,1023
7962,1023
7973,1023
7984,1023
7995,1023
8008,1023
8019,1023
8030,1023
8041,1023
8053,1023
8064,1023
8076,1023
8088,1023
8099,1023
8110,1023
8121,1023
8133,1023
8145,1023
8156,1023
8167,1023
8179,1023
8190,1023
8201,1023
8213,1023
8225,1023
8236,1023
8247,1023
8259,1023
8270,1023
8282,1023
8293,1023
8305,1023
8316,1023
8327,1023
8339,1023
8351,1023
8362,1023
8373,1023
8384,1023
8396,1023
8408,1023
8419,1023
8431,1023
8442,1023
8453,1023
8464,1023
8477,1023
8488,1023
8499,1023
8510,1023
8522,1023
8533,1023
8545,1023
8556,1023
8568,1023
